cod-1000051-K1N1O3.chgcar,373248,72,72,72
cod-1001127-Na4Cl4O12.chgcar,1105920,128,80,108
cod-1005003-Nb4Co4Te8.chgcar,1612800,96,120,140
cod-1005016-Ba2Co2S4.chgcar,725760,72,72,140
cod-1008255-U3O3F12.chgcar,1728000,120,120,120
cod-1008377-Ba2V2S6.chgcar,1572864,128,128,96
cod-1008844-Sb2Te1Se2.chgcar,655360,64,64,160
cod-1008853-K4Cd1As2.chgcar,4096000,160,160,160
cod-1008938-Rb2Pa2F12.chgcar,1259712,108,108,108
cod-1009072-Mn4Co4Si4.chgcar,576000,96,60,100
cod-1010091-I4.chgcar,1024000,80,80,160
cod-1010276-Ti1Se2.chgcar,401408,56,56,128
cod-1010278-La2O3.chgcar,516096,96,96,56
cod-1010279-Ce2O3.chgcar,442368,96,96,48
cod-1010280-Pr2O3.chgcar,442368,96,96,48
cod-1010281-Nd2O3.chgcar,442368,96,96,48
cod-1010319-Ge1I2.chgcar,524288,64,64,128
cod-1010325-P4.chgcar,663552,96,96,72
cod-1010330-B2N2.chgcar,93312,36,36,72
cod-1010380-K2H2F4.chgcar,884736,96,96,96
cod-1010383-Sr1O10.chgcar,614400,80,80,96
cod-1010391-K2N6.chgcar,592704,84,84,84
cod-1010414-Al3F9.chgcar,614400,80,80,96
cod-1010415-Fe3F9.chgcar,705600,84,84,100
cod-1010416-Co3F9.chgcar,691200,80,80,108
cod-1010417-Rh3F9.chgcar,691200,80,80,108
cod-1010418-Pd3F9.chgcar,691200,80,80,108
cod-1010444-Eu1S1.chgcar,262144,64,64,64
cod-1010519-Po6.chgcar,995328,72,72,192
cod-1010563-Al1Cl3.chgcar,338688,56,56,108
cod-1010582-Ti4O6.chgcar,592704,84,84,84
cod-1010583-Ga4O6.chgcar,512000,80,80,80
cod-1010584-Rh4O6.chgcar,592704,84,84,84
cod-1010609-As8O12.chgcar,2097152,128,128,128
cod-1010618-W4O12.chgcar,1254400,56,112,200
cod-1010913-Fe4As4S4.chgcar,884736,96,96,96
cod-1010946-Co4Cu2S8.chgcar,1728000,120,120,120
cod-1010954-Si2O4.chgcar,512000,80,80,80
cod-1011012-Mn4H2O8.chgcar,430080,64,84,80
cod-1011017-Pb4Cl4O4.chgcar,1032192,84,192,64
cod-1011087-Fe4H4O8.chgcar,737280,192,48,80
cod-1011225-V4O10.chgcar,725760,180,72,56
cod-1011247-Al2Si2O9.chgcar,768000,80,80,120
cod-1011369-Hg3S3.chgcar,829440,72,72,160
cod-1504396-H2C2Br6.chgcar,1280000,100,100,128
cod-1507756-Ba1Ti1O3.chgcar,216000,60,60,60
cod-1509200-Ag1As1Se2.chgcar,388800,60,60,108
cod-1509559-Ag1Te3.chgcar,512000,80,80,80
cod-1509683-Ni1Ag2O2.chgcar,276480,48,48,120
cod-1509684-Ag2O1.chgcar,184320,48,48,80
cod-1509798-Ag2F1.chgcar,221184,48,48,96
cod-1510034-Rb2Ag6S4.chgcar,2293760,128,128,140
cod-1510104-Cs2Au2Se2.chgcar,1032192,96,96,112
cod-1510489-Cs1Au3S2.chgcar,774144,96,96,84
cod-1510490-Cs1Au3Se2.chgcar,884736,96,96,96
cod-1510509-Rb1Au3Se2.chgcar,774144,96,96,84
